Cruiser A,,,,,,,,,,,
Monday & Tuesday,7:30AM - MIDNIGHT ,,,,,,,,,,
"Wednesday, Thursday, Friday",7:30AM - 3:00AM,,,,,,,,,,
1,Village Green,7:30 AM,8:30 AM,9:30 AM,10:30 AM,11:30 AM,12:30 PM,1:30 PM,2:30 PM,3:30 PM,4:30 PM
1a,Price Chopper,,,,,,,,,3:33 PM,4:33 PM
1b,Parry's Plaza,,,,,,,,,3:35 PM,4:35 PM
2,SOMAC,7:39 AM,8:39 AM,9:39 AM,10:39 AM,11:39 AM,12:39 PM,1:39 PM,2:39 PM,3:41 PM,4:41 PM
4-Mar,Newell Apartments,7:42 AM,8:42 AM,9:42 AM,10:42 AM,11:42 AM,12:42 PM,1:42 PM,2:42 PM,3:44 PM,4:44 PM
5,University Ct./Burch,7:45 AM,8:45 AM,9:45 AM,10:45 AM,11:45 AM,12:45 PM,1:45 PM,2:45 PM,3:47 PM,4:47 PM
6,Parker Apartments,7:48 AM,8:48 AM,9:48 AM,10:48 AM,11:48 AM,12:48 PM,1:48 PM,2:48 PM,3:50 PM,4:50 PM
7,110 Broad St.,7:51 AM,8:51 AM,9:51 AM,10:51 AM,11:51 AM,12:51 PM,1:51 PM,2:51 PM,3:53 PM,4:53 PM
8,Cutten Hall,7:54 AM,8:54 AM,9:54 AM,10:54 AM,,12:54 PM,1:54 PM,2:54 PM,3:56 PM,4:56 PM
9,Townhouses,7:58 AM,8:58 AM,9:58 AM,10:58 AM,,12:58 PM,1:58 PM,2:58 PM,4:00 PM,5:00 PM
10,Whitnall Field,8:03 AM,9:03 AM,10:03 AM,11:03 AM,,,2:03 PM,3:03 PM,4:05 PM,5:05 PM
11,Case-Geyer Library,8:06 AM,9:06 AM,10:06 AM,11:06 AM,,1:06 PM,2:06 PM,3:06 PM,4:08 PM,5:08 PM
12,Academic Dr.,8:09 AM,9:09 AM,10:09 AM,11:09 AM,,1:09 PM,2:09 PM,3:09 PM,4:11 PM,5:11 PM
13,Gate House,8:12 AM,9:12 AM,10:12 AM,11:12 AM,,1:12 PM,2:12 PM,3:12 PM,4:14 PM,5:14 PM
14,Perrson Hall,8:15 AM,9:15 AM,10:15 AM,11:15 AM,,1:15 PM,2:15 PM,3:15 PM,4:17 PM,5:17 PM
15,Frank Dining Hall,8:18 AM,9:18 AM,10:18 AM,11:18 AM,,1:18 PM,2:18 PM,3:18 PM,4:20 PM,5:20 PM
16,Perrson Hall,8:21 AM,9:21 AM,10:21 AM,11:21 AM,,1:21 PM,2:21 PM,3:21 PM,4:23 PM,5:23 PM
17,Kendrick & Broad,8:25 AM,9:25 AM,10:25 AM,11:25 AM,,1:25 PM,2:25 PM,3:25 PM,4:27 PM,5:27 PM
1,Village Green,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,12:00 AM,1:00 AM,2:00 AM,
1a,Price Chopper,6:03 PM,7:03 PM,8:03 PM,,,,,,,
1b,Parry's Plaza,6:05 PM,7:05 PM,,,,,,,,
2,SOMAC,6:09 PM,7:09 PM,8:09 PM,9:09 PM,10:09 PM,11:09 PM,12:09 AM,1:09 AM,2:09 AM,
4-Mar,Newell Apartments,6:12 PM,7:12 PM,8:12 PM,9:12 PM,10:12 PM,11:12 PM,12:12 AM,1:12 AM,2:12 AM,
5,University Ct./Burch,6:15 PM,7:15 PM,8:15 PM,9:15 PM,10:15 PM,11:15 PM,12:15 AM,1:15 AM,2:15 AM,
6,Parker Apartments,6:18 PM,7:18 PM,8:18 PM,9:18 PM,10:18 PM,11:18 PM,12:18 AM,1:18 AM,2:18 AM,
7,110 Broad St.,6:21 PM,7:21 PM,8:21 PM,9:21 PM,10:21 PM,11:21 PM,12:21 AM,1:21 AM,2:21 AM,
8,Cutten Hall,6:24 PM,7:24 PM,8:24 PM,9:24 PM,10:24 PM,11:24 PM,12:24 AM,1:24 AM,2:24 AM,
9,Townhouses,6:28 PM,7:28 PM,8:28 PM,9:28 PM,10:28 PM,11:28 PM,12:28 AM,1:28 AM,2:28 AM
10,Whitnall Field,6:33 PM,7:33 PM,8:33 PM,9:33 PM,10:33 PM,11:33 PM,12:33 AM,1:33 AM,2:33 AM
11,Case-Geyer Library,6:36 PM,7:36 PM,8:36 PM,9:36 PM,10:36 PM,11:36 PM,12:36 AM,1:36 AM,2:36 AM
12,Academic Dr.,6:39 PM,7:39 PM,8:39 PM,9:39 PM,10:39 PM,11:39 PM,12:39 AM,1:39 AM,2:39 AM
13,Gate House,6:42 PM,7:42 PM,8:42 PM,9:42 PM,10:42 PM,11:42 PM,12:42 AM,1:42 AM,2:42 AM
14,Perrson Hall,6:45 PM,7:45 PM,8:45 PM,9:45 PM,10:45 PM,11:45 PM,12:45 AM,1:45 AM,2:45 AM
15,Frank Dining Hall,6:48 PM,7:48 PM,8:48 PM,9:48 PM,10:48 PM,11:48 PM,12:48 AM,1:48 AM,2:48 AM
16,Perrson Hall,6:51 PM,7:51 PM,8:51 PM,9:51 PM,10:51 PM,11:51 PM,12:51 AM,1:51 AM,2:51 AM
17,Kendrick & Broad,6:55 PM,7:55 PM,8:55 PM,9:55 PM,10:55 PM,11:55 PM,12:55 AM,1:55 AM,2:55 AM
